reE,imE,inv_abs_det
2.837878787878788,-11.363636363636363,1.9400916917871105e-5
2.837878787878788,-11.212121212121213,2.1800864517540612e-5
2.837878787878788,-11.06060606060606,2.4511285406317953e-5
2.837878787878788,-10.909090909090908,2.7574193841459662e-5
2.837878787878788,-10.757575757575758,3.103755158839525e-5
2.837878787878788,-10.606060606060606,3.495614837176053e-5
2.837878787878788,-10.454545454545455,3.9392618528913904e-5
2.837878787878788,-10.303030303030303,4.441861585884248e-5
2.837878787878788,-10.151515151515152,5.011617236141067e-5
2.837878787878788,-10.0,5.657927091323132e-5
2.837878787878788,-9.848484848484848,6.391566704547777e-5
2.837878787878788,-9.696969696969697,7.224900101715829e-5
2.837878787878788,-9.545454545454545,8.172124848337694e-5
2.837878787878788,-9.393939393939394,9.24955664432326e-5
2.837878787878788,-9.242424242424242,0.00010475960105728304
2.837878787878788,-9.090909090909092,0.0001187293356388336
2.837878787878788,-8.93939393939394,0.0001346535709933484
2.837878787878788,-8.787878787878787,0.00015281914672317924
2.837878787878788,-8.636363636363637,0.0001735570316332347
2.837878787878788,-8.484848484848484,0.00019724943457400174
2.837878787878788,-8.333333333333334,0.00022433811467612353
2.837878787878788,-8.181818181818182,0.00025533410285626
2.837878787878788,-8.030303030303031,0.0002908290857893915
2.837878787878788,-7.878787878787879,0.00033150875056671663
2.837878787878788,-7.7272727272727275,0.0003781684446002333
2.837878787878788,-7.575757575757576,0.00043173157296236395
2.837878787878788,-7.424242424242424,0.0004932712366741723
2.837878787878788,-7.2727272727272725,0.0005640357134382288
2.837878787878788,-7.121212121212121,0.000645478500591752
2.837878787878788,-6.96969696969697,0.0007392937831089727
2.837878787878788,-6.818181818181818,0.0008474583628233504
2.837878787878788,-6.666666666666667,0.0009722812954579535
2.837878787878788,-6.515151515151516,0.0011164627379016022
2.837878787878788,-6.363636363636363,0.0012831638197122546
2.837878787878788,-6.212121212121212,0.0014760897326487404
2.837878787878788,-6.0606060606060606,0.0016995886954806155
2.837878787878788,-5.909090909090909,0.0019587700170442405
2.837878787878788,-5.757575757575758,0.0022596451709450916
2.837878787878788,-5.606060606060606,0.0026092966371831275
2.837878787878788,-5.454545454545454,0.0030160802906575956
2.837878787878788,-5.303030303030303,0.0034898683599627668
2.837878787878788,-5.151515151515151,0.004042341482092122
2.837878787878788,-5.0,0.004687340181829613
2.837878787878788,-4.848484848484849,0.0054412882495176096
2.837878787878788,-4.696969696969697,0.0063237030102066966
2.837878787878788,-4.545454545454546,0.007357810383825774
2.837878787878788,-4.393939393939394,0.00857128590408974
2.837878787878788,-4.242424242424242,0.009997146398544113
2.837878787878788,-4.090909090909091,0.011674820623383875
2.837878787878788,-3.9393939393939394,0.013651430400993913
2.837878787878788,-3.787878787878788,0.015983316051842892
2.837878787878788,-3.6363636363636362,0.01873784006195847
2.837878787878788,-3.484848484848485,0.021995499329903433
2.837878787878788,-3.3333333333333335,0.025852366601715568
2.837878787878788,-3.1818181818181817,0.03042286257799271
2.837878787878788,-3.0303030303030303,0.03584282760431973
2.837878787878788,-2.878787878787879,0.0422728114172575
2.837878787878788,-2.727272727272727,0.049901427562137834
2.837878787878788,-2.5757575757575757,0.05894852563593698
2.837878787878788,-2.4242424242424243,0.06966782684285587
2.837878787878788,-2.272727272727273,0.08234856742531062
2.837878787878788,-2.121212121212121,0.09731564103140464
2.837878787878788,-1.9696969696969697,0.11492778768482115
2.837878787878788,-1.8181818181818181,0.1355736189913266
2.837878787878788,-1.6666666666666667,0.15966575389284943
2.837878787878788,-1.5151515151515151,0.1876340513422455
2.837878787878788,-1.3636363636363635,0.21991971555064502
2.837878787878788,-1.2121212121212122,0.2569726085924569
2.837878787878788,-1.0606060606060606,0.29925404929489385
2.837878787878788,-0.9090909090909091,0.34724644596951043
2.837878787878788,-0.7575757575757576,0.40146940183165025
2.837878787878788,-0.6060606060606061,0.46249998269551845
2.837878787878788,-0.45454545454545453,0.5309934109378315
2.837878787878788,-0.30303030303030304,0.6077001247150992
2.837878787878788,-0.15151515151515152,0.6934759813928111
2.837878787878788,0.0,0.7892839485309849
3.544848484848485,-15.0,1.933489336029286e-6
3.544848484848485,-14.848484848484848,2.1497552329230444e-6
3.544848484848485,-14.696969696969697,2.3912042314197136e-6
3.544848484848485,-14.545454545454545,2.660889710836734e-6
3.544848484848485,-14.393939393939394,2.962250621507926e-6
3.544848484848485,-14.242424242424242,3.2991622054297546e-6
3.544848484848485,-14.090909090909092,3.6759936685633594e-6
3.544848484848485,-13.93939393939394,4.097673797400183e-6
3.544848484848485,-13.787878787878787,4.569765659993541e-6
3.544848484848485,-13.636363636363637,5.098551702052159e-6
3.544848484848485,-13.484848484848484,5.691130745592118e-6
3.544848484848485,-13.333333333333334,6.355528625290959e-6
3.544848484848485,-13.181818181818182,7.1008244610674945e-6
3.544848484848485,-13.030303030303031,7.937294870367344e-6
3.544848484848485,-12.878787878787879,8.876578776921949e-6
