E,redet,imdet
-13.82,-2.5863778797600177e-7,0.0
-13.81,-2.590470388996443e-7,0.0
-13.8,-2.5943302656167237e-7,0.0
-13.79,-2.5979551882829423e-7,0.0
-13.78,-2.6013428340289637e-7,0.0
-13.77,-2.6044908783708333e-7,0.0
-13.76,-2.607396995418119e-7,0.0
-13.75,-2.610058857986156e-7,0.0
-13.74,-2.612474137709244e-7,0.0
-13.73,-2.614640505154664e-7,0.0
-13.72,-2.6165556299378455e-7,0.0
-13.71,-2.6182171808382623e-7,0.0
-13.7,-2.619622825916432e-7,0.0
-13.69,-2.620770232631726e-7,0.0
-13.68,-2.621657067961328e-7,0.0
-13.67,-2.6222809985199653e-7,0.0
-13.66,-2.6226396906807325e-7,0.0
-13.65,-2.6227308106968216e-7,0.0
-13.64,-2.622552024824328e-7,0.0
-13.63,-2.622100999445967e-7,0.0
-13.62,-2.621375401195734e-7,0.0
-13.61,-2.620372897084751e-7,0.0
-13.6,-2.619091154627882e-7,0.0
-13.59,-2.6175278419715784e-7,0.0
-13.58,-2.615680628022597e-7,0.0
-13.57,-2.6135471825777665e-7,0.0
-13.56,-2.611125176454808e-7,0.0
-13.55,-2.60841228162427e-7,0.0
-13.54,-2.6054061713422385e-7,0.0
-13.53,-2.602104520284493e-7,0.0
-13.52,-2.5985050046812954e-7,0.0
-13.51,-2.594605302453571e-7,0.0
-13.5,-2.590403093349953e-7,0.0
-13.49,-2.585896059085004e-7,0.0
-13.48,-2.581081883478424e-7,0.0
-13.47,-2.5759582525954866e-7,0.0
-13.46,-2.5705228548883274e-7,0.0
-13.45,-2.5647733813386287e-7,0.0
-13.44,-2.5587075256011367e-7,0.0
-13.43,-2.5523229841484144e-7,0.0
-13.42,-2.5456174564167447e-7,0.0
-13.41,-2.53858864495304e-7,0.0
-13.4,-2.531234255562983e-7,0.0
-13.39,-2.5235519974602434e-7,0.0
-13.38,-2.515539583416795e-7,0.0
-13.37,-2.5071947299145535e-7,0.0
-13.36,-2.4985151572978974e-7,0.0
